CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/19/2016,8:10,QUEENS,11411,40.70252,-73.74503,"(40.70252, -73.74503)",210 STREET                      ,MURDOCK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543141,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/19/2016,9:50,BRONX,10465,40.820568,-73.824356,"(40.820568, -73.824356)",,,2755      DEWEY AVENUE                  ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3543455,Box Truck,Sedan,,,
10/19/2016,17:53,,,40.803566,-73.96715,"(40.803566, -73.96715)",WEST 109 STREET                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3543422,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/19/2016,0:00,STATEN ISLAND,10304,40.630978,-74.07786,"(40.630978, -74.07786)",VANDUZER STREET                 ,WILLIAM STREET,,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,Unspecified,Unspecified,,3546868,Sedan,Sedan,Sedan,Sedan,
10/19/2016,12:30,,,40.712463,-73.96598,"(40.712463, -73.96598)",WYTHE AVENUE                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543368,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,20:20,,,40.649136,-73.97661,"(40.649136, -73.97661)",EAST 5 STREET                   ,FORT HAMILTON PARKWAY,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3543873,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,7:50,BRONX,10470,40.895466,-73.87713,"(40.895466, -73.87713)",EAST 233 STREET                 ,VANCORTLANDT PARK EAST,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3546299,Sedan,Motorcycle,,,
10/19/2016,11:45,,,40.664886,-73.769035,"(40.664886, -73.769035)",NASSAU EXPRESSWAY               ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3543248,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,18:56,BROOKLYN,11226,40.647243,-73.96048,"(40.647243, -73.96048)",OCEAN AVENUE                    ,ALBEMARLE ROAD,,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,,,,3545244,Pick-up Truck,Bike,,,
10/19/2016,17:20,,,40.72545,-73.837776,"(40.72545, -73.837776)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3543612,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/19/2016,17:50,STATEN ISLAND,10304,40.6094,-74.09011,"(40.6094, -74.09011)",NARROWS ROAD NORTH              ,RICHMOND ROAD,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3544263,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,7:00,QUEENS,11436,40.668434,-73.80062,"(40.668434, -73.80062)",134 AVENUE                      ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3543025,Pick-up Truck,Sedan,,,
10/19/2016,14:45,,,,,,BRUCKNER EXPRESSWAY             ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3543743,Sedan,,,,
10/19/2016,14:25,BROOKLYN,11201,40.69024,-73.99437,"(40.69024, -73.99437)",ATLANTIC AVENUE                 ,CLINTON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3547010,Sedan,,,,
10/19/2016,13:32,BROOKLYN,11204,40.623367,-73.989494,"(40.623367, -73.989494)",17 AVENUE                       ,60 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543722,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,20:40,STATEN ISLAND,10304,40.62646,-74.07809,"(40.62646, -74.07809)",,,132       CANAL STREET                  ,1,0,1,0,0,0,0,0,,,,,,3543616,,,,,
